Job profession,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist
Pharmacist,14.0,6.0,18.0,12.0,7.0,20.0,12.0,20.0
Pharmacist,13.0,7.0,17.0,12.0,7.0,19.0,12.0,20.0
Pharmacist,11.0,8.0,16.0,13.0,7.0,20.0,12.0,19.0
Pharmacist,12.0,9.0,15.0,13.0,7.0,19.0,12.0,18.0
Pharmacist,13.0,10.0,20.0,11.0,6.0,20.0,12.0,17.0
Pharmacist,14.0,6.0,19.0,11.0,6.0,19.0,12.0,16.0
Pharmacist,12.0,7.0,18.0,11.0,6.0,20.0,12.0,15.0
Pharmacist,12.0,8.0,17.0,12.0,7.0,19.0,12.0,16.0
Pharmacist,11.0,9.0,16.0,12.0,8.0,20.0,12.0,17.0
Pharmacist,14.0,10.0,15.0,13.0,9.0,19.0,12.0,18.0
Pharmacist,13.0,6.0,20.0,13.0,10.0,20.0,12.0,19.0
Pharmacist,11.0,7.0,19.0,11.0,5.0,19.0,13.0,20.0
Pharmacist,12.0,8.0,18.0,11.0,6.0,20.0,13.0,20.0
Pharmacist,13.0,9.0,17.0,11.0,6.0,19.0,13.0,19.0
Pharmacist,14.0,10.0,16.0,12.0,6.0,20.0,13.0,18.0
Pharmacist,12.0,6.0,15.0,12.0,5.0,19.0,13.0,17.0
Pharmacist,12.0,7.0,20.0,13.0,5.0,20.0,13.0,16.0
Pharmacist,11.0,8.0,19.0,13.0,5.0,19.0,13.0,15.0
Pharmacist,14.0,9.0,18.0,11.0,5.0,20.0,13.0,16.0
Pharmacist,13.0,10.0,17.0,11.0,5.0,19.0,13.0,17.0
Pharmacist,11.0,6.0,16.0,11.0,5.0,20.0,13.0,18.0
Pharmacist,12.0,7.0,15.0,12.0,5.0,19.0,13.0,19.0
Pharmacist,13.0,8.0,20.0,12.0,5.0,20.0,13.0,20.0
Pharmacist,14.0,9.0,19.0,13.0,5.0,19.0,13.0,20.0
Pharmacist,12.0,10.0,18.0,13.0,5.0,20.0,13.0,19.0
Pharmacist,12.0,6.0,17.0,11.0,5.0,19.0,14.0,18.0
Pharmacist,11.0,7.0,16.0,11.0,5.0,20.0,14.0,17.0
Pharmacist,14.0,8.0,15.0,11.0,5.0,19.0,14.0,16.0
Pharmacist,13.0,9.0,20.0,12.0,5.0,20.0,14.0,15.0
Pharmacist,11.0,10.0,19.0,12.0,5.0,19.0,14.0,16.0
Pharmacist,12.0,6.0,18.0,13.0,5.0,20.0,14.0,17.0
Pharmacist,13.0,7.0,17.0,13.0,5.0,19.0,14.0,18.0
Pharmacist,14.0,8.0,16.0,11.0,6.0,20.0,14.0,19.0
Pharmacist,12.0,9.0,15.0,11.0,7.0,19.0,14.0,20.0
Pharmacist,12.0,10.0,20.0,11.0,8.0,20.0,14.0,15.0
Pharmacist,11.0,6.0,19.0,12.0,9.0,19.0,14.0,16.0
Pharmacist,12.0,7.0,18.0,12.0,10.0,20.0,14.0,17.0
Pharmacist,13.0,8.0,17.0,13.0,5.0,19.0,14.0,18.0
Pharmacist,14.0,9.0,19.0,13.0,9.0,16.0,14.0,19.0
Pharmacist,12.0,10.0,15.0,14.0,9.0,17.0,14.0,16.0
Physician,12.0,6.0,18.0,20.0,5.0,20.0,11.0,11.0
Physician,13.0,7.0,18.0,19.0,6.0,19.0,12.0,12.0
Physician,14.0,8.0,18.0,18.0,7.0,20.0,13.0,13.0
Physician,11.0,9.0,18.0,17.0,8.0,19.0,14.0,14.0
Physician,12.0,10.0,18.0,16.0,9.0,20.0,12.0,11.0
Physician,13.0,5.0,18.0,15.0,5.0,19.0,11.0,12.0
Physician,14.0,7.0,18.0,20.0,6.0,20.0,12.0,13.0
Physician,11.0,8.0,18.0,19.0,7.0,19.0,13.0,14.0
Physician,12.0,9.0,18.0,18.0,8.0,20.0,14.0,11.0
Physician,13.0,10.0,18.0,17.0,9.0,19.0,11.0,12.0
Physician,14.0,5.0,18.0,16.0,5.0,20.0,12.0,13.0
Physician,11.0,5.0,18.0,15.0,6.0,19.0,13.0,14.0
Physician,12.0,5.0,18.0,20.0,7.0,20.0,14.0,11.0
Physician,13.0,5.0,18.0,19.0,8.0,19.0,12.0,12.0
Physician,14.0,5.0,18.0,18.0,9.0,20.0,11.0,13.0
Physician,11.0,6.0,18.0,17.0,5.0,19.0,12.0,14.0
Physician,12.0,7.0,18.0,16.0,6.0,20.0,13.0,11.0
Physician,13.0,8.0,18.0,15.0,7.0,19.0,14.0,12.0
Physician,14.0,9.0,18.0,20.0,8.0,20.0,11.0,13.0
Physician,11.0,10.0,18.0,19.0,9.0,19.0,12.0,14.0
Physician,12.0,5.0,18.0,18.0,5.0,20.0,13.0,11.0
Physician,13.0,5.0,17.0,17.0,6.0,19.0,14.0,12.0
Physician,14.0,5.0,17.0,16.0,7.0,20.0,12.0,13.0
Physician,11.0,5.0,17.0,15.0,8.0,19.0,11.0,14.0
Physician,12.0,5.0,17.0,20.0,9.0,20.0,12.0,11.0
Physician,13.0,5.0,17.0,19.0,5.0,19.0,13.0,12.0
Physician,14.0,6.0,17.0,18.0,6.0,20.0,14.0,13.0
Physician,11.0,7.0,17.0,17.0,7.0,19.0,11.0,14.0
Physician,12.0,8.0,17.0,16.0,8.0,20.0,12.0,11.0
Physician,13.0,9.0,17.0,15.0,9.0,19.0,13.0,12.0
Physician,14.0,10.0,17.0,20.0,5.0,20.0,14.0,13.0
Physician,11.0,5.0,17.0,19.0,6.0,19.0,12.0,14.0
Physician,12.0,5.0,17.0,18.0,7.0,20.0,11.0,11.0
Physician,13.0,5.0,17.0,17.0,8.0,19.0,12.0,12.0
Physician,14.0,5.0,17.0,16.0,9.0,20.0,13.0,13.0
Physician,11.0,5.0,17.0,15.0,5.0,19.0,14.0,14.0
Physician,12.0,5.0,17.0,20.0,6.0,20.0,11.0,11.0
Physician,13.0,5.0,17.0,19.0,7.0,19.0,12.0,12.0
Physician,14.0,5.0,16.0,18.0,8.0,20.0,13.0,13.0
Physician,11.0,5.0,16.0,17.0,9.0,19.0,14.0,14.0
Physician,12.0,5.0,16.0,16.0,5.0,20.0,12.0,11.0
Physician,13.0,5.0,16.0,15.0,6.0,19.0,11.0,12.0
Physician,14.0,5.0,16.0,20.0,7.0,20.0,12.0,13.0
Physician,11.0,6.0,16.0,19.0,8.0,19.0,13.0,14.0
Physician,12.0,7.0,16.0,18.0,9.0,20.0,14.0,11.0
Physician,13.0,8.0,16.0,17.0,5.0,19.0,12.0,12.0
Physician,14.0,9.0,16.0,16.0,6.0,20.0,11.0,13.0
Physician,11.0,10.0,16.0,15.0,7.0,19.0,12.0,14.0
Physician,13.0,5.0,16.0,17.0,8.0,16.0,13.0,12.0
Physician,14.0,5.0,16.0,18.0,9.0,17.0,14.0,13.0
Physicist,12.0,18.0,11.0,19.0,5.0,11.0,19.0,7.0
Physicist,13.0,19.0,11.0,19.0,6.0,11.0,18.0,6.0
Physicist,11.0,18.0,11.0,18.0,7.0,11.0,17.0,7.0
Physicist,14.0,17.0,11.0,17.0,8.0,11.0,16.0,8.0
Physicist,11.0,16.0,11.0,16.0,9.0,11.0,15.0,9.0
Physicist,13.0,19.0,11.0,19.0,5.0,11.0,19.0,10.0
Physicist,14.0,18.0,11.0,18.0,6.0,11.0,18.0,5.0
Physicist,13.0,17.0,11.0,17.0,7.0,11.0,17.0,7.0
Physicist,12.0,16.0,11.0,16.0,8.0,11.0,16.0,6.0
Physicist,13.0,19.0,11.0,19.0,9.0,11.0,15.0,7.0
Physicist,11.0,18.0,11.0,18.0,5.0,12.0,19.0,8.0
Physicist,14.0,17.0,11.0,17.0,6.0,13.0,18.0,9.0
Physicist,11.0,16.0,11.0,16.0,7.0,11.0,17.0,10.0
Physicist,13.0,19.0,11.0,19.0,8.0,14.0,16.0,5.0
Physicist,14.0,18.0,11.0,19.0,9.0,11.0,15.0,7.0
Physicist,13.0,17.0,11.0,18.0,5.0,13.0,19.0,7.0
Physicist,12.0,16.0,11.0,17.0,6.0,14.0,18.0,7.0
Physicist,13.0,19.0,11.0,16.0,7.0,13.0,17.0,7.0
Physicist,11.0,18.0,11.0,19.0,8.0,12.0,16.0,8.0
Physicist,14.0,17.0,11.0,18.0,9.0,13.0,15.0,6.0
Physicist,11.0,16.0,11.0,17.0,5.0,12.0,19.0,7.0
Physicist,13.0,19.0,11.0,16.0,6.0,12.0,18.0,8.0
Physicist,14.0,18.0,14.0,19.0,7.0,12.0,17.0,9.0
Physicist,13.0,17.0,14.0,19.0,8.0,12.0,16.0,10.0
Physicist,12.0,16.0,14.0,18.0,9.0,12.0,15.0,5.0
Physicist,13.0,19.0,14.0,17.0,5.0,12.0,19.0,8.0
Physicist,11.0,18.0,14.0,16.0,6.0,12.0,18.0,8.0
Physicist,14.0,17.0,14.0,20.0,7.0,12.0,17.0,8.0
Physicist,11.0,16.0,14.0,19.0,8.0,12.0,16.0,8.0
Physicist,13.0,19.0,14.0,18.0,9.0,12.0,15.0,8.0
Physicist,14.0,18.0,14.0,17.0,5.0,12.0,19.0,6.0
Physicist,13.0,17.0,14.0,16.0,6.0,12.0,18.0,7.0
Physicist,12.0,16.0,14.0,20.0,7.0,12.0,17.0,8.0
Physicist,13.0,19.0,14.0,19.0,8.0,12.0,16.0,9.0
Physicist,11.0,18.0,14.0,18.0,9.0,12.0,15.0,10.0
Physicist,14.0,17.0,14.0,17.0,5.0,13.0,19.0,5.0
Physicist,11.0,16.0,14.0,16.0,6.0,13.0,18.0,9.0
Physicist,13.0,19.0,14.0,20.0,7.0,13.0,17.0,9.0
Physicist,14.0,18.0,14.0,19.0,8.0,13.0,16.0,9.0
Physicist,13.0,17.0,14.0,18.0,9.0,13.0,15.0,9.0
Physicist,12.0,16.0,13.0,17.0,5.0,13.0,19.0,9.0
Physicist,13.0,19.0,13.0,16.0,6.0,13.0,18.0,9.0
Physicist,11.0,18.0,13.0,18.0,7.0,13.0,17.0,6.0
Physicist,14.0,17.0,13.0,19.0,8.0,13.0,16.0,7.0
Physicist,11.0,16.0,13.0,18.0,9.0,14.0,15.0,8.0
Physicist,13.0,19.0,13.0,17.0,5.0,14.0,19.0,9.0
Physicist,14.0,18.0,13.0,19.0,6.0,14.0,18.0,10.0
Physicist,13.0,17.0,13.0,18.0,7.0,14.0,17.0,5.0
Physicist,12.0,16.0,13.0,17.0,8.0,14.0,16.0,10.0
Physicist,13.0,18.0,13.0,16.0,9.0,14.0,15.0,10.0
Mathematician,12.0,5.0,8.0,17.0,18.0,13.0,6.0,7.0
Mathematician,13.0,5.0,9.0,17.0,18.0,12.0,7.0,6.0
Mathematician,11.0,5.0,10.0,17.0,18.0,13.0,5.0,7.0
Mathematician,14.0,6.0,5.0,17.0,18.0,11.0,8.0,8.0
Mathematician,14.0,8.0,8.0,17.0,18.0,12.0,9.0,9.0
Mathematician,12.0,9.0,8.0,17.0,18.0,13.0,6.0,10.0
Mathematician,13.0,10.0,7.0,17.0,18.0,11.0,7.0,5.0
Mathematician,11.0,5.0,7.0,17.0,18.0,12.0,5.0,7.0
Mathematician,14.0,5.0,7.0,17.0,18.0,13.0,8.0,7.0
Mathematician,12.0,6.0,8.0,17.0,18.0,11.0,9.0,7.0
Mathematician,12.0,8.0,8.0,17.0,18.0,14.0,6.0,7.0
Mathematician,13.0,9.0,8.0,17.0,18.0,13.0,7.0,7.0
Mathematician,11.0,10.0,6.0,17.0,18.0,13.0,5.0,8.0
Mathematician,14.0,5.0,7.0,17.0,18.0,13.0,8.0,8.0
Mathematician,12.0,5.0,7.0,17.0,18.0,12.0,9.0,6.0
Mathematician,12.0,6.0,7.0,17.0,18.0,13.0,6.0,7.0
Mathematician,12.0,6.0,8.0,17.0,18.0,11.0,7.0,8.0
Mathematician,12.0,6.0,8.0,18.0,18.0,14.0,5.0,9.0
Mathematician,13.0,5.0,8.0,18.0,18.0,11.0,8.0,10.0
Mathematician,11.0,5.0,9.0,18.0,18.0,11.0,9.0,5.0
Mathematician,14.0,5.0,10.0,18.0,18.0,12.0,6.0,8.0
Mathematician,13.0,8.0,5.0,18.0,18.0,13.0,7.0,8.0
Mathematician,13.0,9.0,8.0,18.0,18.0,11.0,5.0,8.0
Mathematician,13.0,10.0,8.0,18.0,18.0,14.0,8.0,6.0
Mathematician,12.0,5.0,8.0,18.0,19.0,11.0,9.0,7.0
Mathematician,13.0,7.0,9.0,18.0,19.0,11.0,6.0,8.0
Mathematician,11.0,8.0,10.0,18.0,19.0,11.0,7.0,9.0
Mathematician,14.0,9.0,5.0,18.0,19.0,11.0,5.0,10.0
Mathematician,13.0,10.0,8.0,18.0,19.0,12.0,8.0,5.0
Mathematician,13.0,5.0,8.0,16.0,19.0,13.0,9.0,9.0
Mathematician,13.0,5.0,8.0,16.0,19.0,11.0,6.0,6.0
Mathematician,13.0,5.0,7.0,16.0,19.0,14.0,7.0,7.0
Mathematician,12.0,6.0,7.0,16.0,19.0,13.0,5.0,8.0
Mathematician,13.0,7.0,7.0,16.0,19.0,13.0,8.0,9.0
Mathematician,11.0,8.0,8.0,16.0,19.0,13.0,9.0,10.0
Mathematician,14.0,9.0,8.0,16.0,19.0,13.0,6.0,5.0
Mathematician,13.0,10.0,8.0,16.0,19.0,12.0,7.0,7.0
Mathematician,14.0,5.0,7.0,16.0,19.0,13.0,5.0,8.0
Mathematician,14.0,5.0,7.0,16.0,19.0,11.0,8.0,9.0
Mathematician,14.0,6.0,7.0,16.0,19.0,14.0,9.0,10.0
Mathematician,12.0,7.0,8.0,16.0,20.0,13.0,6.0,5.0
Mathematician,13.0,8.0,8.0,16.0,20.0,13.0,7.0,9.0
Mathematician,11.0,9.0,8.0,15.0,20.0,13.0,5.0,10.0
Mathematician,14.0,10.0,9.0,15.0,20.0,13.0,8.0,10.0
Mathematician,14.0,5.0,10.0,15.0,20.0,12.0,9.0,6.0
Mathematician,14.0,8.0,5.0,15.0,20.0,13.0,6.0,7.0
Mathematician,12.0,9.0,8.0,15.0,20.0,12.0,7.0,8.0
Mathematician,13.0,10.0,9.0,15.0,20.0,13.0,5.0,9.0
Mathematician,11.0,5.0,10.0,15.0,20.0,11.0,8.0,10.0
Mathematician,14.0,5.0,5.0,15.0,20.0,14.0,9.0,5.0
Leader,11.0,9.0,11.0,16.0,5.0,20.0,18.0,7.0
Leader,12.0,9.0,12.0,16.0,6.0,19.0,18.0,7.0
Leader,12.0,6.0,13.0,16.0,7.0,18.0,18.0,6.0
Leader,11.0,6.0,14.0,16.0,7.0,17.0,18.0,7.0
Leader,14.0,6.0,14.0,15.0,8.0,16.0,18.0,8.0
Leader,13.0,6.0,13.0,15.0,8.0,15.0,18.0,9.0
Leader,11.0,6.0,12.0,15.0,5.0,19.0,18.0,10.0
Leader,12.0,6.0,11.0,15.0,6.0,18.0,18.0,5.0
Leader,12.0,6.0,11.0,15.0,7.0,17.0,18.0,7.0
Leader,11.0,6.0,12.0,17.0,7.0,16.0,18.0,7.0
Leader,14.0,6.0,13.0,17.0,8.0,15.0,18.0,7.0
Leader,13.0,6.0,14.0,17.0,8.0,19.0,18.0,7.0
Leader,11.0,6.0,14.0,17.0,5.0,18.0,19.0,8.0
Leader,12.0,6.0,13.0,17.0,6.0,17.0,19.0,8.0
Leader,12.0,6.0,12.0,17.0,7.0,16.0,19.0,8.0
Leader,11.0,6.0,11.0,20.0,7.0,15.0,19.0,6.0
Leader,14.0,6.0,11.0,20.0,8.0,19.0,19.0,7.0
Leader,13.0,6.0,12.0,20.0,8.0,18.0,19.0,8.0
Leader,11.0,6.0,13.0,20.0,5.0,17.0,19.0,9.0
Leader,12.0,6.0,14.0,20.0,6.0,16.0,19.0,10.0
Leader,12.0,6.0,14.0,17.0,7.0,15.0,19.0,5.0
Leader,11.0,6.0,13.0,17.0,7.0,19.0,19.0,8.0
Leader,14.0,6.0,12.0,17.0,8.0,18.0,19.0,8.0
Leader,13.0,6.0,11.0,17.0,8.0,17.0,19.0,8.0
Leader,11.0,8.0,11.0,17.0,5.0,16.0,19.0,8.0
Leader,12.0,9.0,12.0,17.0,6.0,15.0,19.0,8.0
Leader,12.0,10.0,13.0,17.0,7.0,19.0,19.0,8.0
Leader,11.0,5.0,14.0,17.0,7.0,18.0,19.0,6.0
Leader,14.0,8.0,14.0,18.0,8.0,17.0,17.0,7.0
Leader,13.0,9.0,13.0,18.0,8.0,16.0,17.0,8.0
Leader,11.0,10.0,12.0,18.0,5.0,15.0,17.0,9.0
Leader,12.0,5.0,11.0,18.0,6.0,19.0,17.0,10.0
Leader,12.0,8.0,11.0,18.0,7.0,18.0,17.0,5.0
Leader,11.0,9.0,12.0,18.0,7.0,17.0,17.0,9.0
Leader,14.0,10.0,13.0,15.0,8.0,16.0,17.0,9.0
Leader,13.0,5.0,14.0,15.0,5.0,15.0,17.0,9.0
Leader,11.0,5.0,14.0,15.0,6.0,19.0,17.0,9.0
Leader,12.0,8.0,13.0,15.0,7.0,18.0,17.0,9.0
Leader,12.0,9.0,12.0,15.0,7.0,17.0,17.0,9.0
Leader,11.0,10.0,11.0,15.0,8.0,16.0,17.0,9.0
Leader,14.0,5.0,11.0,15.0,8.0,15.0,17.0,6.0
Leader,13.0,5.0,12.0,19.0,5.0,19.0,17.0,7.0
Leader,11.0,5.0,13.0,19.0,6.0,18.0,17.0,8.0
Leader,12.0,6.0,14.0,19.0,7.0,17.0,17.0,9.0
Leader,12.0,7.0,14.0,19.0,7.0,16.0,17.0,10.0
Leader,11.0,8.0,13.0,19.0,8.0,15.0,16.0,5.0
Leader,14.0,9.0,12.0,19.0,8.0,19.0,16.0,10.0
Leader,13.0,10.0,11.0,19.0,9.0,18.0,16.0,10.0
Leader,12.0,5.0,13.0,19.0,9.0,17.0,16.0,10.0
Leader,13.0,8.0,12.0,19.0,9.0,16.0,16.0,10.0
Manager,11.0,6.0,12.0,15.0,18.0,17.0,18.0,5.0
Manager,12.0,7.0,12.0,16.0,18.0,18.0,17.0,6.0
Manager,12.0,8.0,13.0,17.0,18.0,17.0,16.0,7.0
Manager,11.0,9.0,13.0,18.0,18.0,16.0,15.0,8.0
Manager,14.0,10.0,13.0,19.0,18.0,15.0,18.0,8.0
Manager,13.0,5.0,14.0,20.0,18.0,15.0,17.0,9.0
Manager,11.0,7.0,14.0,20.0,18.0,18.0,16.0,7.0
Manager,12.0,7.0,14.0,19.0,18.0,17.0,15.0,5.0
Manager,12.0,6.0,12.0,18.0,18.0,16.0,18.0,5.0
Manager,11.0,7.0,12.0,17.0,18.0,15.0,17.0,6.0
Manager,14.0,8.0,13.0,16.0,18.0,15.0,16.0,7.0
Manager,13.0,9.0,13.0,15.0,18.0,18.0,15.0,8.0
Manager,11.0,10.0,13.0,15.0,17.0,17.0,18.0,8.0
Manager,12.0,5.0,14.0,16.0,16.0,16.0,17.0,9.0
Manager,12.0,7.0,14.0,17.0,15.0,15.0,16.0,7.0
Manager,11.0,7.0,14.0,18.0,15.0,15.0,15.0,5.0
Manager,14.0,7.0,12.0,19.0,18.0,18.0,18.0,5.0
Manager,13.0,6.0,12.0,20.0,17.0,17.0,17.0,6.0
Manager,11.0,7.0,13.0,20.0,16.0,16.0,16.0,7.0
Manager,12.0,6.0,13.0,19.0,15.0,15.0,15.0,8.0
Manager,12.0,7.0,13.0,18.0,15.0,15.0,18.0,8.0
Manager,11.0,8.0,14.0,17.0,18.0,18.0,17.0,9.0
Manager,14.0,9.0,14.0,16.0,17.0,17.0,16.0,7.0
Manager,13.0,10.0,14.0,15.0,16.0,16.0,15.0,5.0
Manager,11.0,5.0,12.0,15.0,15.0,15.0,18.0,5.0
Manager,12.0,7.0,12.0,16.0,15.0,15.0,17.0,6.0
Manager,12.0,7.0,13.0,17.0,18.0,18.0,16.0,7.0
Manager,11.0,7.0,13.0,18.0,17.0,17.0,15.0,8.0
Manager,14.0,7.0,13.0,19.0,16.0,16.0,18.0,8.0
Manager,13.0,6.0,14.0,20.0,15.0,15.0,17.0,9.0
Manager,11.0,7.0,14.0,20.0,15.0,15.0,16.0,7.0
Manager,12.0,8.0,14.0,19.0,18.0,18.0,15.0,5.0
Manager,12.0,9.0,12.0,18.0,17.0,17.0,18.0,5.0
Manager,11.0,10.0,12.0,17.0,16.0,16.0,17.0,6.0
Manager,14.0,5.0,13.0,16.0,15.0,15.0,16.0,7.0
Manager,13.0,7.0,13.0,15.0,15.0,15.0,15.0,8.0
Manager,11.0,7.0,13.0,15.0,18.0,18.0,18.0,8.0
Manager,12.0,7.0,14.0,16.0,17.0,17.0,17.0,9.0
Manager,12.0,7.0,14.0,17.0,16.0,16.0,16.0,7.0
Manager,11.0,7.0,14.0,18.0,15.0,15.0,15.0,5.0
Manager,14.0,7.0,12.0,19.0,15.0,15.0,18.0,5.0
Manager,13.0,6.0,12.0,20.0,15.0,18.0,17.0,6.0
Manager,11.0,7.0,13.0,20.0,18.0,17.0,16.0,7.0
Manager,12.0,8.0,13.0,19.0,17.0,16.0,15.0,8.0
Manager,12.0,9.0,13.0,18.0,16.0,15.0,18.0,8.0
Manager,11.0,10.0,14.0,17.0,15.0,18.0,17.0,9.0
Manager,14.0,5.0,14.0,16.0,15.0,17.0,16.0,7.0
Manager,13.0,7.0,14.0,15.0,16.0,16.0,15.0,5.0
Manager,12.0,7.0,13.0,20.0,16.0,15.0,19.0,9.0
Manager,13.0,7.0,14.0,19.0,16.0,15.0,18.0,9.0
Politician,12.0,5.0,11.0,19.0,6.0,20.0,17.0,5.0
Politician,12.0,5.0,12.0,19.0,6.0,19.0,17.0,5.0
Politician,13.0,6.0,12.0,19.0,6.0,18.0,17.0,5.0
Politician,13.0,6.0,11.0,19.0,6.0,17.0,17.0,6.0
Politician,13.0,7.0,14.0,19.0,6.0,16.0,17.0,6.0
Politician,14.0,7.0,13.0,19.0,6.0,15.0,17.0,6.0
Politician,14.0,8.0,11.0,19.0,6.0,19.0,17.0,5.0
Politician,14.0,8.0,12.0,19.0,6.0,18.0,17.0,5.0
Politician,12.0,9.0,12.0,19.0,6.0,17.0,17.0,5.0
Politician,12.0,9.0,11.0,19.0,7.0,16.0,17.0,6.0
Politician,13.0,10.0,14.0,19.0,8.0,15.0,17.0,6.0
Politician,13.0,10.0,13.0,19.0,9.0,19.0,17.0,6.0
Politician,13.0,5.0,11.0,19.0,10.0,18.0,17.0,5.0
Politician,14.0,5.0,12.0,19.0,5.0,17.0,17.0,5.0
Politician,14.0,6.0,12.0,19.0,8.0,16.0,17.0,5.0
Politician,14.0,6.0,11.0,19.0,9.0,15.0,17.0,6.0
Politician,12.0,7.0,14.0,19.0,10.0,19.0,17.0,6.0
Politician,12.0,7.0,13.0,19.0,5.0,18.0,17.0,6.0
Politician,13.0,8.0,11.0,19.0,5.0,17.0,17.0,5.0
Politician,13.0,8.0,12.0,19.0,5.0,16.0,17.0,5.0
Politician,13.0,9.0,12.0,19.0,5.0,15.0,17.0,5.0
Politician,14.0,9.0,11.0,19.0,6.0,19.0,17.0,6.0
Politician,14.0,10.0,14.0,19.0,7.0,18.0,17.0,6.0
Politician,14.0,10.0,13.0,19.0,8.0,17.0,17.0,6.0
Politician,12.0,5.0,11.0,19.0,9.0,16.0,18.0,5.0
Politician,12.0,5.0,12.0,19.0,10.0,15.0,18.0,5.0
Politician,13.0,6.0,12.0,19.0,5.0,19.0,18.0,5.0
Politician,13.0,6.0,11.0,19.0,7.0,18.0,18.0,6.0
Politician,13.0,7.0,14.0,19.0,7.0,17.0,18.0,6.0
Politician,14.0,7.0,13.0,19.0,7.0,16.0,18.0,6.0
Politician,14.0,8.0,11.0,19.0,7.0,15.0,18.0,5.0
Politician,14.0,8.0,12.0,19.0,6.0,19.0,18.0,5.0
Politician,12.0,9.0,12.0,19.0,7.0,18.0,18.0,5.0
Politician,12.0,9.0,11.0,19.0,8.0,17.0,18.0,6.0
Politician,13.0,10.0,14.0,19.0,9.0,16.0,18.0,6.0
Politician,13.0,10.0,13.0,19.0,10.0,15.0,18.0,6.0
Politician,13.0,5.0,12.0,19.0,5.0,19.0,18.0,5.0
Politician,14.0,5.0,13.0,19.0,8.0,18.0,18.0,5.0
Politician,14.0,6.0,12.0,19.0,8.0,17.0,15.0,5.0
Politician,14.0,6.0,12.0,19.0,8.0,16.0,16.0,6.0
Politician,12.0,7.0,12.0,19.0,8.0,15.0,18.0,6.0
Politician,12.0,7.0,12.0,19.0,8.0,19.0,19.0,6.0
Politician,13.0,8.0,12.0,19.0,6.0,18.0,16.0,5.0
Politician,13.0,8.0,12.0,19.0,7.0,17.0,20.0,5.0
Politician,13.0,9.0,12.0,19.0,8.0,16.0,19.0,5.0
Politician,14.0,9.0,12.0,19.0,9.0,15.0,17.0,6.0
Politician,14.0,10.0,12.0,19.0,10.0,19.0,15.0,6.0
Politician,14.0,10.0,12.0,19.0,5.0,18.0,16.0,6.0
Politician,13.0,7.0,12.0,19.0,8.0,17.0,20.0,5.0
Politician,14.0,7.0,12.0,19.0,8.0,16.0,17.0,5.0
Social Worker,11.0,5.0,20.0,6.0,12.0,19.0,18.0,7.0
Social Worker,11.0,5.0,20.0,7.0,12.0,19.0,18.0,7.0
Social Worker,11.0,5.0,20.0,8.0,12.0,19.0,18.0,7.0
Social Worker,11.0,5.0,20.0,9.0,12.0,19.0,18.0,7.0
Social Worker,11.0,6.0,20.0,10.0,12.0,19.0,18.0,7.0
Social Worker,11.0,7.0,20.0,5.0,12.0,19.0,18.0,7.0
Social Worker,11.0,8.0,20.0,6.0,12.0,19.0,18.0,7.0
Social Worker,11.0,9.0,20.0,6.0,12.0,19.0,18.0,7.0
Social Worker,11.0,10.0,20.0,6.0,12.0,19.0,18.0,7.0
Social Worker,11.0,5.0,20.0,6.0,12.0,19.0,18.0,7.0
Social Worker,11.0,5.0,20.0,6.0,12.0,19.0,18.0,7.0
Social Worker,11.0,5.0,20.0,6.0,12.0,19.0,18.0,7.0
Social Worker,11.0,5.0,20.0,7.0,12.0,19.0,18.0,7.0
Social Worker,11.0,6.0,20.0,8.0,12.0,19.0,18.0,7.0
Social Worker,11.0,7.0,20.0,9.0,14.0,19.0,18.0,7.0
Social Worker,11.0,8.0,20.0,10.0,14.0,19.0,18.0,7.0
Social Worker,11.0,9.0,20.0,5.0,14.0,19.0,18.0,7.0
Social Worker,12.0,10.0,20.0,8.0,14.0,18.0,17.0,7.0
Social Worker,12.0,5.0,20.0,8.0,14.0,18.0,17.0,8.0
Social Worker,12.0,6.0,20.0,6.0,14.0,18.0,17.0,9.0
Social Worker,12.0,6.0,19.0,7.0,14.0,18.0,17.0,10.0
Social Worker,12.0,6.0,19.0,8.0,14.0,18.0,17.0,5.0
Social Worker,12.0,7.0,19.0,9.0,14.0,18.0,17.0,8.0
Social Worker,12.0,8.0,19.0,10.0,14.0,18.0,17.0,8.0
Social Worker,12.0,9.0,19.0,5.0,13.0,16.0,19.0,7.0
Social Worker,12.0,10.0,19.0,7.0,13.0,16.0,19.0,8.0
Social Worker,12.0,5.0,19.0,7.0,13.0,16.0,19.0,9.0
Social Worker,12.0,6.0,19.0,7.0,13.0,16.0,19.0,10.0
Social Worker,11.0,5.0,20.0,6.0,12.0,19.0,18.0,5.0
Social Worker,11.0,5.0,20.0,6.0,12.0,19.0,18.0,8.0
Social Worker,11.0,6.0,20.0,8.0,12.0,19.0,18.0,7.0
Social Worker,11.0,7.0,20.0,8.0,12.0,18.0,18.0,7.0
Social Worker,11.0,8.0,20.0,8.0,12.0,16.0,18.0,7.0
Social Worker,11.0,9.0,20.0,8.0,14.0,16.0,18.0,8.0
Social Worker,11.0,10.0,20.0,8.0,14.0,16.0,18.0,9.0
Social Worker,11.0,5.0,20.0,8.0,14.0,16.0,18.0,10.0
Social Worker,12.0,6.0,20.0,8.0,14.0,19.0,17.0,5.0
